# ----------------------------------------
# Demographic details: Country
# Account: fowl AI
# Property: fowl AI
# NOTE: pulled directly from the GA4 UI (Reports > User attributes > Demographic details)
# via Claude in Chrome for the weekly-analytics-review scheduled task, not a manual CSV export.
# ----------------------------------------
#
# All Users
# Start date: 20260720
# End date: 20260726
Country,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
India,42,42,17,0.3778,0.40,7,210,9,0.2143,0
United States,15,13,19,0.6552,1.27,52,214,0,0,0
Bangladesh,7,6,4,0.5714,0.57,22,66,2,0.2857,0
Kenya,4,3,4,0.50,1.00,75,32,0,0,0
(not set),3,3,0,0,0,0,9,0,0,0
Ghana,2,2,1,0.50,0.50,28,8,0,0,0
Japan,2,2,1,0.50,0.50,22,14,0,0,0
Morocco,2,2,1,0.50,0.50,24,8,0,0,0
Nigeria,2,2,1,0.50,0.50,43,17,0,0,0
Pakistan,2,2,0,0,0,0,7,0,0,0
Thailand,2,2,0,0,0,2,10,0,0,0
Vietnam,2,2,0,0,0,0,6,0,0,0
China,1,1,0,0,0,2,4,0,0,0
Egypt,1,1,0,0,0,2,4,0,0,0
Germany,1,1,1,1.00,1.00,0,5,1,1.00,0
Malaysia,1,1,0,0,0,1,4,0,0,0
Nepal,1,1,1,1.00,1.00,47,34,0,0,0
Saudi Arabia,1,1,1,1.00,1.00,4,6,0,0,0
Somalia,1,1,0,0,0,4,4,0,0,0
Ukraine,1,1,1,0.3333,1.00,4,9,0,0,0
United Arab Emirates,1,1,0,0,0,8,8,0,0,0
